circuit,circuit_path,initial_area,final_area,area_reduction,area_reduction_pct
adder.aag,testcase/EPFL/adder/adder.aag,1249,1026,223,17.854283426741393
arbiter.aag,testcase/EPFL/arbiter/arbiter.aag,11988,11839,149,1.2429095762429094
bar.aag,testcase/EPFL/bar/bar.aag,2952,2952,0,0.0
cavlc.aag,testcase/EPFL/cavlc/cavlc.aag,636,629,7,1.10062893081761
ctrl.aag,testcase/EPFL/ctrl/ctrl.aag,102,98,4,3.9215686274509802
dec.aag,testcase/EPFL/dec/dec.aag,304,304,0,0.0
div.aag,testcase/EPFL/div/div.aag,22424,20554,1870,8.339279343560472
hyp.aag,testcase/EPFL/hyp/hyp.aag,235291,220615,14676,6.237382645320051
i2c.aag,testcase/EPFL/i2c/i2c.aag,1072,1067,5,0.46641791044776115
int2float.aag,testcase/EPFL/int2float/int2float.aag,200,200,0,0.0
log2.aag,testcase/EPFL/log2/log2.aag,31890,28723,3167,9.931012856694888
max.aag,testcase/EPFL/max/max.aag,2833,2827,6,0.2117896223085069
mem_ctrl.aag,testcase/EPFL/mem_ctrl/mem_ctrl.aag,41281,40262,1019,2.468447954264674
multiplier.aag,testcase/EPFL/multiplier/multiplier.aag,25000,24370,630,2.52
priority.aag,testcase/EPFL/priority/priority.aag,984,601,383,38.922764227642276
router.aag,testcase/EPFL/router/router.aag,186,170,16,8.60215053763441
sin.aag,testcase/EPFL/sin/sin.aag,5335,4972,363,6.804123711340206
sqrt.aag,testcase/EPFL/sqrt/sqrt.aag,25074,24289,785,3.1307330302305174
square.aag,testcase/EPFL/square/square.aag,18241,17138,1103,6.046817608683734
voter.aag,testcase/EPFL/voter/voter.aag,10051,8787,1264,12.575863098199184
c1355.aag,testcase/ISCAS85/c1355/c1355.aag,586,388,198,33.78839590443686
c17.aag,testcase/ISCAS85/c17/c17.aag,6,6,0,0.0
c1908.aag,testcase/ISCAS85/c1908/c1908.aag,432,358,74,17.12962962962963
c2670.aag,testcase/ISCAS85/c2670/c2670.aag,661,553,108,16.338880484114977
c3540.aag,testcase/ISCAS85/c3540/c3540.aag,946,917,29,3.06553911205074
c432.aag,testcase/ISCAS85/c432/c432.aag,122,122,0,0.0
c499.aag,testcase/ISCAS85/c499/c499.aag,549,387,162,29.508196721311474
c5315.aag,testcase/ISCAS85/c5315/c5315.aag,1598,1383,215,13.454317897371714
c6288.aag,testcase/ISCAS85/c6288/c6288.aag,1870,1870,0,0.0
c7552.aag,testcase/ISCAS85/c7552/c7552.aag,1816,1409,407,22.411894273127754
c880.aag,testcase/ISCAS85/c880/c880.aag,366,314,52,14.207650273224044
ex00.aag,testcase/IWLS/ex00/ex00.aag,49,34,15,30.612244897959183
ex01.aag,testcase/IWLS/ex01/ex01.aag,52,41,11,21.153846153846153
ex02.aag,testcase/IWLS/ex02/ex02.aag,183,157,26,14.207650273224044
ex03.aag,testcase/IWLS/ex03/ex03.aag,134,100,34,25.37313432835821
ex04.aag,testcase/IWLS/ex04/ex04.aag,671,580,91,13.561847988077497
ex05.aag,testcase/IWLS/ex05/ex05.aag,300,224,76,25.333333333333336
ex06.aag,testcase/IWLS/ex06/ex06.aag,2519,2156,363,14.41048034934498
ex07.aag,testcase/IWLS/ex07/ex07.aag,1695,1423,272,16.047197640117993
ex08.aag,testcase/IWLS/ex08/ex08.aag,1251,1052,199,15.907274180655476
ex09.aag,testcase/IWLS/ex09/ex09.aag,1230,1030,200,16.260162601626014
ex10.aag,testcase/IWLS/ex10/ex10.aag,19,14,5,26.31578947368421
ex100.aag,testcase/IWLS/ex100/ex100.aag,5072,4313,759,14.964511041009466
ex101.aag,testcase/IWLS/ex101/ex101.aag,19334,16516,2818,14.575359470363091
ex102.aag,testcase/IWLS/ex102/ex102.aag,69245,59062,10183,14.705754928153658
ex103.aag,testcase/IWLS/ex103/ex103.aag,250295,210077,40218,16.06823947741665
